,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 04:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 05:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 05:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 06:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 06:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 07:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 07:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 08:00:00,0,0,0,0.0002500000000000002,0,0.0,0,0.0007500000000000007,0,0,0
2017-02-26 08:30:00,0,0,0,2.500000000016378e-06,0,0.0,0,7.500000000049134e-06,0,0,0
2017-02-26 09:00:00,0,0,0,2.500000007010783e-08,0,0.0,0,7.500000021032349e-08,0,0,0
2017-02-26 09:30:00,0,0,0,3.750000310276391e-10,0,2.5000002068509275e-10,0,3.750000310276391e-10,0,0,0
2017-02-26 10:00:00,0,0,0,3.750000310276391e-12,0,2.5000002068509275e-12,0,3.750000310276391e-12,0,0,0
2017-02-26 10:30:00,0,0,0,3.730349362740526e-14,0,2.4868995751603507e-14,0,3.730349362740526e-14,0,0,0
2017-02-26 11:00:00,0,0,0,6.661338147750939e-16,0,4.440892098500626e-16,0,6.661338147750939e-16,0,0,0
2017-02-26 11:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 12:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 12:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 13:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 13:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 14:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 14:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 15:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 15:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 16:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 16:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 17:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 17:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 18:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 18:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 19:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 19:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 20:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 20:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 21:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 21:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 22:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 22:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
