,grid_import_revenue_fixed,grid_import_revenue_variable,local_solar_import_revenue,central_battery_import_revenue,total_revenue
2017-02-26 03:30:00,0.0,0.0316,0.0,0.0,0.0316
2017-02-26 04:00:00,0.0,0.017400000000000002,0.0,0.0,0.017400000000000002
2017-02-26 04:30:00,0.0,0.020300000000000002,0.0,0.0,0.020300000000000002
2017-02-26 05:00:00,0.0,0.0211,0.0,0.0,0.0211
2017-02-26 05:30:00,0.0,0.0181,0.0,0.0,0.0181
2017-02-26 06:00:00,0.0,0.040138689500000005,0.0,0.0,0.040138689500000005
2017-02-26 06:30:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 07:00:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 07:30:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 08:00:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 08:30:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 09:00:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 09:30:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 10:00:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 10:30:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 11:00:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 11:30:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 12:00:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 12:30:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 13:00:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 13:30:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 14:00:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 14:30:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 15:00:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 15:30:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 16:00:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 16:30:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 17:00:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 17:30:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 18:00:00,0.0,0.0,0.0,0.0,0.0
2017-02-26 18:30:00,0.0,0.05873157119999999,0.0,0.0,0.05873157119999999
2017-02-26 19:00:00,0.0,0.032600000000000004,0.0,0.0,0.032600000000000004
2017-02-26 19:30:00,0.0,0.029200000000000004,0.0,0.0,0.029200000000000004
2017-02-26 20:00:00,0.0,0.05740000000000001,0.0,0.0,0.05740000000000001
2017-02-26 20:30:00,0.0,0.03200000000000001,0.0,0.0,0.03200000000000001
2017-02-26 21:00:00,0.0,0.028600000000000004,0.0,0.0,0.028600000000000004
2017-02-26 21:30:00,0.0,0.0325,0.0,0.0,0.0325
2017-02-26 22:00:00,0.0,0.030500000000000003,0.0,0.0,0.030500000000000003
2017-02-26 22:30:00,0.0,0.028600000000000004,0.0,0.0,0.028600000000000004
2017-02-26 23:00:00,0.0,0.0316,0.0,0.0,0.0316
2017-02-26 23:30:00,0.0,0.028100000000000003,0.0,0.0,0.028100000000000003
2017-02-27 00:00:00,0.0,0.03130000000000001,0.0,0.0,0.03130000000000001
2017-02-27 00:30:00,0.0,0.0315,0.0,0.0,0.0315
2017-02-27 01:00:00,0.0,0.028400000000000005,0.0,0.0,0.028400000000000005
2017-02-27 01:30:00,0.0,0.032400000000000005,0.0,0.0,0.032400000000000005
2017-02-27 02:00:00,0.0,0.03270000000000001,0.0,0.0,0.03270000000000001
2017-02-27 02:30:00,0.0,0.058600000000000006,0.0,0.0,0.058600000000000006
2017-02-27 03:00:00,0.0,0.028600000000000004,0.0,0.0,0.028600000000000004
2017-02-27 03:30:00,0.0,0.030300000000000004,0.0,0.0,0.030300000000000004
2017-02-27 04:00:00,0.0,0.020800000000000003,0.0,0.0,0.020800000000000003
2017-02-27 04:30:00,0.0,0.0175,0.0,0.0,0.0175
2017-02-27 05:00:00,0.0,0.0204,0.0,0.0,0.0204
2017-02-27 05:30:00,0.0,0.0182,0.0,0.0,0.0182
2017-02-27 06:00:00,0.0,0.017337142500000003,0.0,0.0,0.017337142500000003
2017-02-27 06:30:00,0.0,0.003961713400000002,0.0,0.0,0.003961713400000002
2017-02-27 07:00:00,0.0,0.11896506310000002,0.0,0.0,0.11896506310000002
2017-02-27 07:30:00,0.0,0.29109687180000005,0.0,0.0,0.29109687180000005
2017-02-27 08:00:00,0.0,1.6997850834,0.0,0.0,1.6997850834
2017-02-27 08:30:00,0.0,1.3914385211999998,0.0,0.0,1.3914385211999998
2017-02-27 09:00:00,0.0,1.2839865014999998,0.0,0.0,1.2839865014999998
2017-02-27 09:30:00,0.0,1.4321499393,0.0,0.0,1.4321499393
2017-02-27 10:00:00,0.0,2.2427537826,0.0,0.0,2.2427537826
2017-02-27 10:30:00,0.0,2.4060750287999992,0.0,0.0,2.4060750287999992
2017-02-27 11:00:00,0.0,0.3814617881999999,0.0,0.0,0.3814617881999999
2017-02-27 11:30:00,0.0,2.3562342756,0.0,0.0,2.3562342756
