battery_strategy,charge_start1,charge_end1,charge_day1,charge_start2,charge_end2,charge_day2,discharge_start1,discharge_end1,discharge_day1,discharge_start2,discharge_end2,discharge_day2,charge_c_rate,discharge_c_rate,seasonal_strategy,prioritise_battery,peak_demand_percentage
ed1700_cmax_dmax,,,,,,,17:00,20:00,both,,,,,,TRUE,,
ed1700_c20_d20,,,,,,,17:00,20:00,both,,,,0.2,0.2,TRUE,,
ed1730_cmax_dmax,,,,,,,17:30,20:00,both,,,,,,TRUE,,
ed1630_c20_d20,,,,,,,16:30,20:00,both,,,,0.2,0.2,TRUE,,
ch_ed1630_cmax_d20,,,,,,,16:30,20:00,both,,,,,0.2,TRUE,TRUE,
ch_ed1700_cmax_dmax,,,,,,,17:00,20:00,both,,,,,,TRUE,TRUE,
sc1700_c20_dmax,1:00,6:00,both,,,,,,,17:00,20:00,both,0.2,,TRUE,,
sc1700_cmax_dmax,1:00,6:00,both,,,,,,,17:00,20:00,both,,,TRUE,,
dc1700_c20_dmax,1:00,6:00,both,9:30,14:00,both,7:00,9:00,both,17:00,20:00,both,0.2,,TRUE,,
dc1700_cmax_dmax,1:00,6:00,both,11:30,14:00,both,7:00,9:00,both,17:00,20:00,both,,,TRUE,,
pdt_pps_80,,,,,,,14:00,20:00,day,,,,,,TRUE,,80
pdt_pps_85,,,,,,,14:00,20:00,day,,,,,,TRUE,,85
pdt_pps_90,,,,,,,14:00,20:00,day,,,,,,TRUE,,90
pdt_pps_95,,,,,,,14:00,20:00,day,,,,,,TRUE,,95
pdt_ch_80,,,,,,,14:00,20:00,day,,,,,,TRUE,TRUE,80
pdt_sc_80,1:00,6:00,both,,,,14:00,20:00,day,,,,,,TRUE,,80
pdt_sc_75,1:00,6:00,both,,,,14:00,20:00,day,,,,,,TRUE,,75
pdt_sc_70,1:00,6:00,both,,,,14:00,20:00,day,,,,,,TRUE,,70
pdt_sc_65,1:00,6:00,both,,,,14:00,20:00,day,,,,,,TRUE,,65
pdt_sc_60,1:00,6:00,both,,,,14:00,20:00,day,,,,,,TRUE,,60
pdt_sc_55,1:00,6:00,both,,,,14:00,20:00,day,,,,,,TRUE,,55
pdt_sc_50,1:00,6:00,both,,,,14:00,20:00,day,,,,,,TRUE,,50
pdt_sc_45,1:00,6:00,both,,,,14:00,20:00,day,,,,,,TRUE,,45
pdt_sc_40,1:00,6:00,both,,,,14:00,20:00,day,,,,,,TRUE,,40
pdt_sc_35,1:00,6:00,both,,,,14:00,20:00,day,,,,,,TRUE,,35
pdt_sc_30,1:00,6:00,both,,,,14:00,20:00,day,,,,,,TRUE,,30
